# Directed Hypercube random graph, dimension 6, seed 32
n = 64
0 : 1w60 2w4 4w85 8w75 16w30 32w23
1 : 0w56 33w76 34w53 36w83 40w92 48w41
2 : 0w21 17w11 18w91 20w74 24w48 48w38
3 : 16w100 32w72 49w96 50w32 52w90 56w31
4 : 0w83 9w22 10w68 12w57 24w100 40w40
5 : 8w65 32w7 41w45 42w88 44w63 56w97
6 : 8w42 16w87 25w2 26w56 28w100 56w14
7 : 24w10 40w79 48w9 57w30 58w6 60w60
8 : 0w8 5w23 6w92 12w87 20w94 36w55
9 : 4w72 32w8 37w7 38w30 44w3 52w67
10 : 4w78 16w58 21w26 22w30 28w27 52w2
11 : 20w31 36w38 48w44 53w16 54w49 60w37
12 : 4w98 8w50 13w90 14w95 28w21 44w53
13 : 12w26 36w68 40w86 45w4 46w63 60w52
14 : 12w45 20w88 24w11 29w95 30w29 60w35
15 : 28w83 44w76 52w80 56w54 61w10 62w80
16 : 0w18 3w35 6w58 10w82 18w1 34w38
17 : 2w39 32w2 35w66 38w73 42w28 50w40
18 : 2w3 16w51 19w78 22w26 26w7 50w14
19 : 18w59 34w43 48w86 51w65 54w45 58w37
20 : 2w55 8w26 11w31 14w25 26w82 42w27
21 : 10w50 34w19 40w72 43w44 46w56 58w39
22 : 10w56 18w45 24w6 27w54 30w17 58w53
23 : 26w56 42w81 50w63 56w26 59w11 62w71
24 : 2w71 4w66 7w44 14w74 22w32 38w37
25 : 6w20 34w24 36w32 39w13 46w80 54w54
26 : 6w79 18w56 20w57 23w92 30w15 54w27
27 : 22w25 38w90 50w79 52w48 55w79 62w75
28 : 6w20 10w41 12w19 15w44 30w89 46w80
29 : 14w96 38w25 42w63 44w47 47w47 62w73
30 : 14w16 22w33 26w67 28w4 31w100 62w32
31 : 30w59 46w70 54w66 58w11 60w82 63w23
32 : 0w96 3w9 5w15 9w55 17w67 33w84
33 : 1w34 32w9 35w39 37w21 41w59 49w4
34 : 1w58 16w8 19w21 21w92 25w49 49w72
35 : 17w18 33w26 48w16 51w37 53w39 57w96
36 : 1w60 8w65 11w59 13w72 25w44 41w31
37 : 9w12 33w11 40w89 43w31 45w86 57w23
38 : 9w31 17w87 24w3 27w93 29w80 57w87
39 : 25w90 41w46 49w23 56w18 59w3 61w13
40 : 1w70 4w58 7w60 13w4 21w84 37w18
41 : 5w77 33w61 36w35 39w18 45w41 53w26
42 : 5w48 17w46 20w20 23w77 29w83 53w91
43 : 21w95 37w83 49w49 52w45 55w41 61w30
44 : 5w51 9w44 12w33 15w49 29w72 45w21
45 : 13w45 37w93 41w36 44w58 47w28 61w39
46 : 13w83 21w55 25w99 28w78 31w16 61w9
47 : 29w41 45w39 53w23 57w30 60w21 63w4
48 : 1w81 2w43 7w56 11w4 19w4 35w22
49 : 3w49 33w39 34w82 39w40 43w96 51w4
50 : 3w16 17w12 18w37 23w97 27w31 51w20
51 : 19w71 35w97 49w36 50w2 55w63 59w67
52 : 3w17 9w44 10w39 15w14 27w0 43w84
53 : 11w86 35w11 41w65 42w30 47w45 59w87
54 : 11w19 19w4 25w100 26w82 31w27 59w71
55 : 27w39 43w75 51w5 57w89 58w48 63w9
56 : 3w40 5w29 6w62 15w28 23w86 39w95
57 : 7w24 35w26 37w91 38w98 47w63 55w100
58 : 7w81 19w10 21w43 22w68 31w0 55w59
59 : 23w12 39w19 51w15 53w5 54w53 63w16
60 : 7w36 11w11 13w30 14w63 31w73 47w58
61 : 15w8 39w79 43w40 45w57 46w85 63w72
62 : 15w94 23w13 27w57 29w98 30w79 63w62
63 : 31w45 47w86 55w69 59w42 61w86 62w89
