# Undirected 3-regular random graph, seed 25
n = 100
0 : 4w26 22w95 38w12 94w77
1 : 33w4 35w95 42w98 85w18
2 : 43w80 63w48 70w72 86w40
3 : 28w45 43w94 53w97 97w49
4 : 0w26 32w64 76w84 83w34
5 : 8w81 23w37 48w57 75w9
6 : 20w55 62w79 69w64 93w71
7 : 15w29 46w52 72w54 92w28
8 : 5w81 81w12 96w72
9 : 49w96 57w69 74w22 84w45
10 : 63w36 65w75 66w8 90w83
11 : 37w33 61w26 91w76 99w74
12 : 19w36 41w50 76w59 92w52
13 : 30w42 41w79 50w49 91w94
14 : 67w74 74w49 93w8 96w71
15 : 7w29 26w98 56w19 71w74
16 : 25w51 29w42 32w23 83w0
17 : 67w87 75w97 82w21 92w68
18 : 22w12 36w24 43w41 79w57
19 : 12w36 50w13 54w71 96w51
20 : 6w55 25w48 36w14 78w44
21 : 34w64 37w73 49w53 91w91
22 : 0w95 18w12 30w61 93w51
23 : 5w37 29w55 33w36 40w19
24 : 61w65 73w79 74w46 85w68
25 : 16w51 20w48 28w79 53w98
26 : 15w98 62w98 83w14 94w31
27 : 32w74 59w100 70w38 71w94
28 : 3w45 25w79 47w90 90w64
29 : 16w42 23w55 37w99 60w72
30 : 13w42 22w61 35w64 95w99
31 : 39w3 44w52 55w86 89w24
32 : 4w64 16w23 27w74 82w32
33 : 1w4 23w36 64w72 70w92
34 : 21w64 44w51 56w1 64w32
35 : 1w95 30w64 57w14 76w54
36 : 18w24 20w14 39w73 52w68
37 : 11w33 21w73 29w99 59w36
38 : 0w12 67w35 95w4 96w10
39 : 31w3 36w73 48w91 53w26
40 : 23w19 54w42 84w100 95w33
41 : 12w50 13w79 47w58 65w64
42 : 1w98 58w93 59w66 86w94
43 : 2w80 3w94 18w41 54w43
44 : 31w52 34w51 92w89 99w91
45 : 68w88 89w88 90w54 99w53
46 : 7w52 63w79 65w59 86w5
47 : 28w90 41w58 88w8 94w48
48 : 5w57 39w91 70w16 80w59
49 : 9w96 21w53 87w39 99w79
50 : 13w49 19w13 77w3 98w15
51 : 54w100 78w39 80w50 83w70
52 : 36w68 58w79 75w75 85w61
53 : 3w97 25w98 39w26 59w29
54 : 19w71 40w42 43w43 51w100
55 : 31w86 68w96 72w66 94w9
56 : 15w19 34w1 64w85 82w90
57 : 9w69 35w14 90w56 98w45
58 : 42w93 52w79 66w60 88w12
59 : 27w100 37w36 42w66 53w29
60 : 29w72 62w61 69w16 79w50
61 : 11w26 24w65 68w24 75w5
62 : 6w79 26w98 60w61 73w0
63 : 2w48 10w36 46w79 88w39
64 : 33w72 34w32 56w85 77w0
65 : 10w75 41w64 46w59 66w52
66 : 10w8 58w60 65w52 97w67
67 : 14w74 17w87 38w35 84w44
68 : 45w88 55w96 61w24 82w59
69 : 6w64 60w16 74w22 87w85
70 : 2w72 27w38 33w92 48w16
71 : 15w74 27w94 80w46 93w22
72 : 7w54 55w66 78w83 81w91
73 : 24w79 62w0 76w97 98w5
74 : 9w22 14w49 24w46 69w22
75 : 5w9 17w97 52w75 61w5
76 : 4w84 12w59 35w54 73w97
77 : 50w3 64w0 79w75 87w60
78 : 20w44 51w39 72w83 91w21
79 : 18w57 60w50 77w75 98w81
80 : 48w59 51w50 71w46 89w92
81 : 8w12 72w91 84w46
82 : 17w21 32w32 56w90 68w59
83 : 4w34 16w0 26w14 51w70
84 : 9w45 40w100 67w44 81w46
85 : 1w18 24w68 52w61 86w54
86 : 2w40 42w94 46w5 85w54
87 : 49w39 69w85 77w60 88w73
88 : 47w8 58w12 63w39 87w73
89 : 31w24 45w88 80w92 97w86
90 : 10w83 28w64 45w54 57w56
91 : 11w76 13w94 21w91 78w21
92 : 7w28 12w52 17w68 44w89
93 : 6w71 14w8 22w51 71w22
94 : 0w77 26w31 47w48 55w9
95 : 30w99 38w4 40w33 97w36
96 : 8w72 14w71 19w51 38w10
97 : 3w49 66w67 89w86 95w36
98 : 50w15 57w45 73w5 79w81
99 : 11w74 44w91 45w53 49w79
